filename,frame,cluster,dist_to_centroid
0healthy.npy,0,1,250.37282139627732
0healthy.npy,1,1,168.29207199209498
0healthy.npy,2,1,107.75743345239017
0healthy.npy,3,1,82.44610433957152
0healthy.npy,4,1,120.90851885286625
0healthy.npy,5,1,233.27737209122935
0healthy.npy,6,1,198.367900483247
0healthy.npy,7,1,167.3084220398196
0healthy.npy,8,1,191.97070934761038
0healthy.npy,9,1,189.32279022392206
100healthy.npy,0,1,182.97350785055218
100healthy.npy,1,1,154.9574099237876
100healthy.npy,2,1,134.76306845315642
100healthy.npy,3,0,149.49516449380224
100healthy.npy,4,0,113.05946327881112
100healthy.npy,5,0,142.87649838848895
100healthy.npy,6,1,132.90246485341598
100healthy.npy,7,1,123.05520691467021
100healthy.npy,8,1,127.45285039049831
100healthy.npy,9,1,160.06769607663674
101healthy.npy,0,1,143.5518109374949
101healthy.npy,1,1,117.9037509142321
101healthy.npy,2,1,134.6590284006125
101healthy.npy,3,0,100.47728044318336
101healthy.npy,4,0,97.46121455471827
101healthy.npy,5,1,117.94474800022068
101healthy.npy,6,1,117.65742866978323
101healthy.npy,7,1,110.69665395671753
101healthy.npy,8,1,108.22623599421588
101healthy.npy,9,1,117.63168614964057
102pMI.npy,0,1,98.83889792423714
102pMI.npy,1,1,64.74341401436057
102pMI.npy,2,1,97.60225817086001
102pMI.npy,3,0,100.66707131280148
102pMI.npy,4,0,99.65607521853373
102pMI.npy,5,1,83.45147682393788
102pMI.npy,6,1,67.54833515848048
102pMI.npy,7,1,70.63592844197659
102pMI.npy,8,1,72.8279681324575
102pMI.npy,9,1,83.00617644445055
103healthy.npy,0,1,145.7558599552906
103healthy.npy,1,1,140.90680580401224
103healthy.npy,2,1,154.54592998358785
103healthy.npy,3,0,139.14443949983666
103healthy.npy,4,0,128.4325647688802
103healthy.npy,5,0,145.79186900930182
103healthy.npy,6,0,140.85106085824185
103healthy.npy,7,1,135.20870985106055
103healthy.npy,8,1,129.14805618561653
103healthy.npy,9,1,131.71356100898979
104pMI.npy,0,1,199.95985159171573
104pMI.npy,1,1,160.05486229732776
104pMI.npy,2,1,152.88729329356318
104pMI.npy,3,1,158.11582964886406
104pMI.npy,4,1,161.8574700217825
104pMI.npy,5,1,125.59645565248832
104pMI.npy,6,1,114.50958852028612
104pMI.npy,7,1,112.31260372340482
104pMI.npy,8,1,113.30532686763344
104pMI.npy,9,1,131.78623957093782
105pMI.npy,0,2,131.1782154627824
105pMI.npy,1,2,116.45283174640939
105pMI.npy,2,2,148.5758883158129
105pMI.npy,3,0,151.9486733228894
105pMI.npy,4,2,145.24059439376785
105pMI.npy,5,2,108.77606386165722
105pMI.npy,6,2,111.8136750972333
105pMI.npy,7,2,116.00812468292634
105pMI.npy,8,2,119.975807367958
105pMI.npy,9,2,118.90851436576281
106healthy.npy,0,1,178.08014450686483
106healthy.npy,1,1,109.15093559868525
106healthy.npy,2,1,75.15951277631092
106healthy.npy,3,1,102.87844283441768
106healthy.npy,4,1,64.97904002569867
106healthy.npy,5,1,128.68268711136471
106healthy.npy,6,1,119.9556213793252
106healthy.npy,7,1,104.24924139347155
106healthy.npy,8,1,107.67347388020443
106healthy.npy,9,1,126.27311241812754
107healthy.npy,0,1,128.30963232319954
107healthy.npy,1,1,118.58232608432381
107healthy.npy,2,0,153.917157476834
